
Nasi Gudeg;Makanan Berat;450;12;18;62;8;"nangka muda;santan;gula merah;bawang putih;lengkuas";"telur;ayam;krecek;tahu;tempe";25000;180;sedang;Makanan khas Yogyakarta dengan nangka muda dimasak santan manis;"Didihkan air, masukkan nangka muda, rebus hingga empuk. Tumis bawang putih hingga harum, masukkan ke dalam rebusan nangka. Tambahkan lengkuas, gula merah, dan santan. Masak perlahan hingga bumbu meresap dan kuah menyusut. Sajikan dengan telur, ayam, krecek, tahu, tempe."
Soto Ayam;Makanan Berat;380;28;15;35;3;"ayam;kunyit;serai;daun jeruk;bawang putih";"kol;tauge;soun;telur rebus;kerupuk";20000;60;mudah;Sup ayam kuah kuning dengan bumbu rempah khas Jawa;"Rebus ayam hingga matang, angkat dan suwir-suwir. Sisihkan air kaldunya. Tumis kunyit, serai, daun jeruk, dan bawang putih hingga harum. Masukkan bumbu ke dalam air kaldu, didihkan. Bumbui dengan garam dan gula. Sajikan kuah dengan ayam, kol, tauge, soun, telur rebus, dan kerupuk."
Rawon;Makanan Berat;420;32;22;28;5;"daging sapi;kluwak;serai;lengkuas;jahe";"tauge;telur asin;sambal;kerupuk";35000;120;sedang;Sup daging sapi dengan kuah hitam dari kluwak;"Panggang kluwak hingga harum, keluarkan isi dan haluskan. Rebus daging sapi hingga empuk, potong-potong. Sisihkan air kaldunya. Tumis serai, lengkuas, jahe, dan isi kluwak hingga harum. Masukkan ke dalam air kaldu, masak hingga mendidih. Masukkan potongan daging, bumbui. Sajikan dengan tauge, telur asin, sambal, dan kerupuk."
Pecel;Makanan Ringan;280;8;16;28;12;"kangkung;kacang panjang;tauge;bayam";"bumbu kacang;kemangi;kol";15000;30;mudah;Sayuran rebus dengan sambal kacang khas Jawa Timur;"Rebus semua sayuran (kangkung, kacang panjang, tauge, bayam) hingga layu, tiriskan. Campur bumbu kacang dengan air hangat hingga kental. Sajikan sayuran dengan bumbu kacang, taburi kemangi dan kol."
Gado-gado;Makanan Berat;350;14;18;38;10;"kangkung;kol;kentang;tauge;tahu;tempe";"telur rebus;lontong;bumbu kacang;kerupuk";18000;40;mudah;Salad sayuran Indonesia dengan saus kacang;"Rebus sayuran dan tahu/tempe hingga matang, tiriskan. Buat bumbu kacang dari kacang tanah yang dihaluskan, campur dengan kecap, air, garam, gula. Sajikan sayuran, tahu, tempe, lontong, telur rebus dengan bumbu kacang dan kerupuk."
Sate Ayam;Makanan Berat;320;35;16;12;2;"ayam;kecap manis;bawang putih;ketumbar";"bumbu kacang;lontong;bawang goreng";25000;45;mudah;Tusuk sate ayam bakar dengan bumbu kacang;"Potong daging ayam, tusuk dengan tusukan sate. Campur kecap manis, bawang putih, dan ketumbar, lumuri sate. Bakar sate hingga matang. Sajikan dengan bumbu kacang, lontong, dan bawang goreng."
Nasi Liwet;Makanan Berat;480;10;12;78;4;"beras;santan;serai;daun salam;bawang merah";"ayam;teri;tempe;labu siam";22000;50;mudah;Nasi gurih santan khas Solo dengan lauk pauk;"Tumis bawang merah hingga harum, masukkan serai dan daun salam. Tambahkan santan, masukkan beras, aduk rata. Masak seperti menanak nasi biasa hingga matang. Sajikan dengan lauk pauk seperti ayam, teri, tempe, labu siam."
Tahu Tek;Makanan Ringan;250;12;14;22;6;"tahu;tauge;kentang;lontong;telur";"bumbu kacang;kecap;petis udang";12000;25;mudah;Hidangan tahu dengan kentang dan saus kacang petis;"Goreng tahu dan kentang hingga matang, sisihkan. Rebus tauge dan telur, tiriskan. Campur bumbu kacang, kecap, dan petis udang. Sajikan tahu, kentang, tauge, telur, lontong dengan bumbu."
Lontong Balap;Makanan Berat;380;15;10;58;8;"lontong;tauge;tahu goreng;lentho";"kuah kaldu;kecap;sambal;bawang goreng";15000;40;mudah;Lontong dengan tahu lentho dan kuah kaldu khas Surabaya;"Buat kuah kaldu dari tulang ayam atau daging, bumbui. Goreng tahu hingga kecokelatan. Buat lentho dari adonan kentang dan bumbu, goreng. Potong lontong, siram dengan kuah kaldu, tahu, lentho. Tambahkan kecap, sambal, bawang goreng."
Rujak Cingur;Makanan Ringan;220;18;8;24;9;"cingur;kangkung;mentimun;bengkoang;nanas";"bumbu petis;kacang;kecap;lombok";18000;35;sedang;Rujak khas Surabaya dengan cingur dan bumbu petis;"Rebus cingur hingga empuk, potong tipis. Potong-potong sayur dan buah. Campur bumbu petis, kacang, kecap, lombok, air, aduk hingga kental. Campurkan semua bahan, aduk rata dengan bumbu."
Soto Lamongan;Makanan Berat;360;26;14;32;3;"ayam;koya;bawang goreng;seledri";"nasi;kerupuk;jeruk nipis;sambal";17000;55;mudah;Soto ayam khas Lamongan dengan taburan koya;"Rebus ayam hingga matang, suwir-suwir. Sisihkan air kaldu. Tumis bumbu soto (bawang putih, kemiri, kunyit, dll) hingga harum, masukkan ke kaldu. Bumbui. Sajikan kuah dengan ayam, nasi, taburi koya, bawang goreng, seledri. Tambahkan jeruk nipis, sambal, kerupuk."
Bakso;Makanan Berat;400;22;12;48;4;"daging sapi;tepung tapioka;bawang putih";"mie;bihun;tahu;sayur sawi";15000;90;sedang;Baso daging sapi dengan kuah kaldu dan mie;"Haluskan daging sapi dan bawang putih, campur dengan tepung tapioka dan sedikit air. Bentuk bulat, rebus hingga mengapung. Buat kuah kaldu dari tulang sapi. Sajikan bakso dengan mie, bihun, tahu, sayur, siram dengan kuah."
